Day_ID,Date,obs_NO2,obs_CH4,sigma_N,sigma_C,true_NO2,true_CH4
1,10000000,142.32,2005.21,7.0,2.0,139.25,2004.53
1,10000000,69.76,1951.47,7.0,2.0,76.34,1945.71
1,10000000,130.18,2014.33,7.0,2.0,124.31,2012.37
1,10000000,114.29,1979.29,7.0,2.0,123.4,1983.05
1,10000000,172.97,2041.8,7.0,2.0,163.13,2038.44
1,10000000,84.89,1927.56,7.0,2.0,81.89,1926.12
1,10000000,65.3,1943.13,7.0,2.0,63.59,1944.41
1,10000000,27.39,1884.99,7.0,2.0,28.02,1886.7
1,10000000,110.04,2008.69,7.0,2.0,125.97,2008.07
1,10000000,71.84,1927.73,7.0,2.0,69.25,1929.58
1,10000000,106.56,1950.37,7.0,2.0,106.96,1950.38
1,10000000,136.55,2009.06,7.0,2.0,136.33,2008.15
1,10000000,27.79,1881.81,7.0,2.0,24.92,1882.59
1,10000000,153.4,2014.74,7.0,2.0,142.33,2015.55
1,10000000,160.6,2027.35,7.0,2.0,152.99,2029.69
1,10000000,173.74,2043.97,7.0,2.0,168.28,2043.58
1,10000000,2.64,1842.89,7.0,2.0,3.68,1845.81
1,10000000,68.7,1937.18,7.0,2.0,68.78,1937.63
1,10000000,53.37,1933.13,7.0,2.0,56.52,1935.51
1,10000000,21.07,1861.59,7.0,2.0,15.66,1862.67
2,10000001,60.73,1893.29,7.0,2.0,55.09,1892.27
2,10000001,37.36,1878.96,7.0,2.0,37.99,1878.14
2,10000001,146.9,1985.69,7.0,2.0,150.87,1984.72
2,10000001,169.71,2013.55,7.0,2.0,165.33,2012.47
2,10000001,40.6,1905.04,7.0,2.0,43.94,1903.19
2,10000001,131.35,1991.36,7.0,2.0,136.73,1991.57
2,10000001,113.51,1963.98,7.0,2.0,122.76,1962.77
2,10000001,89.52,1939.79,7.0,2.0,82.98,1940.92
2,10000001,124.67,1951.98,7.0,2.0,117.02,1957.53
2,10000001,139.29,1985.58,7.0,2.0,138.5,1984.22
2,10000001,75.08,1944.02,7.0,2.0,87.08,1946.34
2,10000001,-4.26,1878.1,7.0,2.0,3.11,1877.44
2,10000001,36.15,1897.01,7.0,2.0,33.92,1896.3
2,10000001,89.35,1933.15,7.0,2.0,79.56,1930.68
2,10000001,69.0,1916.18,7.0,2.0,75.44,1916.09
2,10000001,158.4,2000.66,7.0,2.0,155.43,2000.44
2,10000001,22.86,1888.03,7.0,2.0,21.73,1886.59
2,10000001,50.9,1909.42,7.0,2.0,63.39,1913.53
2,10000001,82.69,1930.36,7.0,2.0,78.35,1932.11
2,10000001,1.59,1872.82,7.0,2.0,11.25,1874.66
3,10000002,14.49,1887.79,7.0,2.0,17.73,1889.4
3,10000002,94.55,1947.61,7.0,2.0,95.02,1945.05
3,10000002,127.17,1972.96,7.0,2.0,134.16,1973.24
3,10000002,76.1,1942.07,7.0,2.0,82.07,1942.02
3,10000002,67.25,1914.48,7.0,2.0,60.62,1912.0
3,10000002,105.24,1955.25,7.0,2.0,107.12,1958.22
3,10000002,65.65,1892.59,7.0,2.0,57.26,1894.6
3,10000002,36.97,1885.01,7.0,2.0,41.97,1884.95
3,10000002,149.56,2001.57,7.0,2.0,157.66,2005.93
3,10000002,111.52,1971.9,7.0,2.0,116.46,1970.12
3,10000002,83.75,1952.47,7.0,2.0,92.03,1953.16
3,10000002,57.42,1916.81,7.0,2.0,61.34,1918.06
3,10000002,107.89,1962.56,7.0,2.0,110.34,1963.06
3,10000002,135.08,1987.69,7.0,2.0,137.65,1985.87
3,10000002,145.97,1987.35,7.0,2.0,151.96,1988.72
3,10000002,129.63,1967.09,7.0,2.0,122.52,1968.98
3,10000002,122.57,1975.03,7.0,2.0,112.4,1977.88
3,10000002,52.65,1931.39,7.0,2.0,65.52,1935.5
3,10000002,127.24,1974.77,7.0,2.0,132.15,1973.09
3,10000002,95.73,1917.97,7.0,2.0,89.86,1920.5
4,10000003,24.47,1905.28,7.0,2.0,35.85,1899.94
4,10000003,183.32,1977.14,7.0,2.0,166.66,1975.26
4,10000003,76.27,1918.61,7.0,2.0,64.27,1918.69
4,10000003,124.94,1957.61,7.0,2.0,120.15,1958.08
4,10000003,71.06,1889.0,7.0,2.0,60.37,1889.08
4,10000003,146.21,1945.72,7.0,2.0,143.0,1949.41
4,10000003,142.91,2006.08,7.0,2.0,146.9,2009.32
4,10000003,115.55,1939.65,7.0,2.0,114.3,1938.53
4,10000003,91.53,1963.57,7.0,2.0,95.49,1962.3
4,10000003,-2.32,1905.92,7.0,2.0,10.65,1908.82
4,10000003,34.06,1892.66,7.0,2.0,23.49,1890.69
4,10000003,60.22,1882.27,7.0,2.0,58.25,1884.39
4,10000003,53.21,1894.78,7.0,2.0,57.59,1896.88
4,10000003,31.31,1899.4,7.0,2.0,43.17,1898.7
4,10000003,165.82,1991.88,7.0,2.0,170.4,1993.5
