Day_ID,Date,obs_NO2,obs_CH4,sigma_N,sigma_C,true_NO2,true_CH4
1,10000000,42.95,1936.84,7.0,2.0,53.22,1937.01
1,10000000,30.77,1906.16,7.0,2.0,29.68,1907.62
1,10000000,118.78,1986.39,7.0,2.0,115.96,1988.79
1,10000000,154.48,2034.8,7.0,2.0,161.8,2035.87
1,10000000,129.34,2028.22,7.0,2.0,138.12,2027.41
1,10000000,24.5,1879.38,7.0,2.0,24.85,1878.5
1,10000000,25.07,1856.71,7.0,2.0,13.45,1857.48
1,10000000,136.86,2027.66,7.0,2.0,138.43,2024.98
1,10000000,124.25,1991.49,7.0,2.0,116.31,1991.07
1,10000000,28.04,1895.66,7.0,2.0,41.09,1896.67
1,10000000,21.49,1862.79,7.0,2.0,20.22,1865.21
1,10000000,94.31,1963.15,7.0,2.0,94.99,1963.61
1,10000000,41.12,1900.8,7.0,2.0,45.8,1900.19
1,10000000,179.06,2031.73,7.0,2.0,171.06,2033.31
1,10000000,63.4,1939.03,7.0,2.0,71.08,1941.29
1,10000000,49.52,1910.66,7.0,2.0,52.27,1909.72
1,10000000,14.07,1872.78,7.0,2.0,26.06,1873.16
1,10000000,19.86,1883.79,7.0,2.0,22.26,1882.95
1,10000000,156.48,2027.67,7.0,2.0,150.84,2029.24
1,10000000,37.64,1902.22,7.0,2.0,50.05,1902.23
1,10000000,30.22,1879.74,7.0,2.0,28.24,1879.73
1,10000000,34.16,1886.64,7.0,2.0,42.44,1888.26
1,10000000,88.72,1963.17,7.0,2.0,84.92,1962.03
1,10000000,82.25,1957.54,7.0,2.0,80.59,1955.66
1,10000000,59.08,1908.19,7.0,2.0,57.5,1908.53
1,10000000,154.56,2064.49,7.0,2.0,148.17,2061.05
1,10000000,88.69,1940.49,7.0,2.0,77.39,1939.72
1,10000000,121.64,1989.03,7.0,2.0,116.0,1986.23
1,10000000,41.03,1893.77,7.0,2.0,43.74,1893.56
1,10000000,89.91,1942.98,7.0,2.0,89.55,1941.23
1,10000000,132.3,2007.5,7.0,2.0,140.07,2007.82
1,10000000,151.61,2002.05,7.0,2.0,149.04,2002.63
1,10000000,-4.45,1835.72,7.0,2.0,0.75,1838.72
1,10000000,41.71,1908.06,7.0,2.0,42.31,1906.01
1,10000000,100.8,1985.03,7.0,2.0,99.66,1984.4
1,10000000,35.84,1896.9,7.0,2.0,25.18,1899.03
1,10000000,24.86,1899.88,7.0,2.0,30.21,1897.82
1,10000000,95.37,1951.63,7.0,2.0,91.98,1948.24
1,10000000,8.41,1847.19,7.0,2.0,9.98,1849.72
1,10000000,151.06,2013.15,7.0,2.0,150.92,2012.9
1,10000000,67.69,1945.78,7.0,2.0,73.74,1945.1
1,10000000,145.68,2013.37,7.0,2.0,156.08,2016.14
1,10000000,144.16,2020.16,7.0,2.0,146.94,2018.67
1,10000000,122.83,1996.03,7.0,2.0,118.39,1995.52
1,10000000,38.33,1896.37,7.0,2.0,39.93,1894.41
1,10000000,34.09,1884.58,7.0,2.0,35.4,1885.42
1,10000000,14.64,1888.28,7.0,2.0,14.33,1888.51
1,10000000,85.69,1950.38,7.0,2.0,90.6,1949.46
1,10000000,0.53,1840.91,7.0,2.0,1.67,1840.72
1,10000000,126.1,1998.8,7.0,2.0,123.73,1999.48
1,10000000,154.84,2026.61,7.0,2.0,154.78,2027.37
1,10000000,48.07,1920.72,7.0,2.0,49.63,1922.78
1,10000000,12.31,1891.11,7.0,2.0,16.2,1889.75
1,10000000,94.68,1943.6,7.0,2.0,90.46,1943.09
1,10000000,107.71,1988.54,7.0,2.0,98.68,1987.6
1,10000000,3.43,1863.64,7.0,2.0,5.03,1863.47
1,10000000,50.33,1893.84,7.0,2.0,47.26,1897.11
1,10000000,10.47,1857.83,7.0,2.0,15.1,1854.5
1,10000000,-1.45,1867.06,7.0,2.0,6.33,1869.02
1,10000000,54.23,1917.68,7.0,2.0,52.84,1916.2
1,10000000,41.46,1900.51,7.0,2.0,42.07,1901.6
1,10000000,113.58,1975.53,7.0,2.0,114.98,1975.65
1,10000000,115.43,2009.1,7.0,2.0,124.44,2004.99
1,10000000,45.62,1911.82,7.0,2.0,52.01,1912.37
1,10000000,136.31,1984.2,7.0,2.0,131.94,1984.86
1,10000000,130.41,1981.42,7.0,2.0,115.02,1982.61
1,10000000,118.55,1986.5,7.0,2.0,113.85,1985.83
1,10000000,38.96,1899.31,7.0,2.0,37.34,1900.04
1,10000000,108.04,1983.83,7.0,2.0,111.1,1983.85
1,10000000,112.88,1989.91,7.0,2.0,108.79,1987.93
1,10000000,14.59,1841.63,7.0,2.0,8.21,1840.62
1,10000000,166.54,2044.15,7.0,2.0,169.62,2041.82
1,10000000,162.57,2038.44,7.0,2.0,159.04,2036.72
1,10000000,56.23,1910.07,7.0,2.0,51.19,1909.78
1,10000000,92.68,1943.23,7.0,2.0,87.07,1945.4
1,10000000,117.33,2007.76,7.0,2.0,105.54,2005.12
1,10000000,49.06,1927.74,7.0,2.0,55.15,1927.71
1,10000000,155.1,2045.25,7.0,2.0,156.53,2044.3
1,10000000,125.65,1981.46,7.0,2.0,116.67,1981.23
1,10000000,21.99,1877.42,7.0,2.0,26.02,1874.16
2,10000001,4.76,1872.14,7.0,2.0,8.6,1868.01
2,10000001,53.72,1954.46,7.0,2.0,72.53,1952.56
2,10000001,57.38,1919.74,7.0,2.0,65.23,1918.54
2,10000001,32.62,1895.42,7.0,2.0,31.24,1897.3
2,10000001,69.25,1933.46,7.0,2.0,72.23,1936.11
2,10000001,157.35,1995.61,7.0,2.0,157.45,1993.27
2,10000001,117.73,1944.94,7.0,2.0,112.86,1943.99
2,10000001,166.4,1998.49,7.0,2.0,168.97,2001.5
2,10000001,98.62,1938.87,7.0,2.0,104.99,1936.24
2,10000001,121.25,1960.98,7.0,2.0,122.7,1963.63
2,10000001,42.99,1903.01,7.0,2.0,35.81,1904.43
2,10000001,132.92,1988.82,7.0,2.0,135.78,1992.42
2,10000001,175.58,2030.75,7.0,2.0,171.79,2029.07
2,10000001,18.69,1901.04,7.0,2.0,27.64,1900.72
2,10000001,114.83,1982.9,7.0,2.0,115.18,1980.12
2,10000001,7.84,1875.21,7.0,2.0,21.19,1878.45
2,10000001,14.35,1862.4,7.0,2.0,6.98,1859.24
2,10000001,30.72,1880.0,7.0,2.0,25.15,1880.21
2,10000001,104.8,1940.94,7.0,2.0,97.4,1936.57
2,10000001,70.07,1921.0,7.0,2.0,58.99,1919.12
2,10000001,62.94,1901.02,7.0,2.0,53.32,1898.85
2,10000001,147.19,1993.86,7.0,2.0,145.94,1991.04
2,10000001,31.77,1875.86,7.0,2.0,24.46,1879.02
2,10000001,122.47,1980.63,7.0,2.0,126.58,1984.39
2,10000001,156.13,1998.26,7.0,2.0,149.61,1997.46
2,10000001,80.09,1947.81,7.0,2.0,78.13,1948.1
2,10000001,82.72,1931.53,7.0,2.0,84.05,1931.86
2,10000001,140.39,1970.17,7.0,2.0,134.02,1971.58
2,10000001,9.23,1866.4,7.0,2.0,13.61,1863.93
